"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Rhino Tapa'atoutai","Bishop Alemany (Mission Hills, CA)","6-5",280,87,NA,55,85,"CA","OT",2023,"arizona","Commit",9
"Elijha Payne","Sierra Canyon (Chatsworth, CA)","6-7",285,87,NA,60,88,"CA","OT",2023,"arizona","Commit",9
"Gavin Hunter","Mililani (Mililani, HI)","6-2",190,87,NA,73,7,"HI","ATH",2023,"arizona","Commit",9
"Nick Fernandez","San Pedro (San Pedro, CA)","6-4",265,87,NA,75,92,"CA","ATH",2023,"arizona","Commit",9
"Jackson Holman","Mission Viejo (Mission Viejo, CA)","6-3",200,87,NA,131,98,"CA","WR",2023,"arizona","Commit",9
"Emmanuel Karnley","Las Lomas (Walnut Creek, CA)","6-3",185,87,NA,98,105,"CA","CB",2023,"arizona","Commit",9
"Canyon Moses","Midland Legacy (Midland, TX)","5-9",180,86,NA,105,154,"TX","CB",2023,"arizona","Commit",5
"Arian Parish","Katy (Katy, TX)","5-11",170,86,NA,91,164,"TX","S",2023,"arizona","Commit",5
"Keanu Mailoto","Mt. San Antonio College (Walnut, CA)","6-3",275,86,59,9,15,"CA","DL",2023,"arizona","Commit",5
"Tylen Gonzalez","Carlsbad (Carlsbad, NM)","6-6",250,86,NA,134,1,"NM","DL",2023,"arizona","Commit",5
"Carlos Wilson","Inderkum (Sacramento, CA)","5-11",160,84,NA,168,178,"CA","ATH",2023,"arizona","Commit",2
"Tristan Davis","Lakeridge (Lake Oswego, OR)","6-7",235,83,NA,155,8,"OR","Edge",2023,"arizona","Commit",5
"Taye Brown","Hamilton (Chandler, AZ)","6-2",220,83,NA,157,26,"AZ","LB",2023,"arizona","Commit",5
"Julian Savaiinaea","St. Louis (Honolulu, HI)","6-3",241,83,NA,160,11,"HI","Edge",2023,"arizona","Commit",5
"Kamuela Ka'aihue","Roosevelt (Honolulu, HI)","6-2",210,83,NA,166,14,"HI","LB",2023,"arizona","Commit",5
"Dominic Lolesio","Long Beach Poly (Long Beach, CA)","6-4",230,83,NA,195,201,"CA","DL",2023,"arizona","Commit",5
"Nolan Clement","Desert Mountain (Scottsdale, AZ)","6-4",220,80,NA,192,43,"AZ","Edge",2023,"arizona","Commit",1
"Charles Yates Jr.","Los Angeles Pierce College (Woodland Hills, CA)","5-11",190,78,NA,4,95,"CA","WR",2023,"arizona","Commit",1
"Montana Lemonious-Craig",NA,"6-2",185,91,NA,NA,NA,NA,"WR",2023,"arizona","Transfer",2
"Taylor Upshaw",NA,"6-4",246,87,NA,NA,NA,NA,"Edge",2023,"arizona","Transfer",9
"Sio Nofoagatoto'a",NA,"6-3",315,84,NA,NA,NA,NA,"DL",2023,"arizona","Transfer",2
"Daniel Heimuli",NA,"6-0",230,86,NA,NA,NA,NA,"LB",2023,"arizona","Transfer",5
"Justin Flowe",NA,"6-2",225,91,NA,NA,NA,NA,"LB",2023,"arizona","Transfer",2
"Bill Norton",NA,"6-6",285,88,NA,NA,NA,NA,"DL",2023,"arizona","Transfer",5
"Orin Patu",NA,"6-4",200,85,NA,NA,NA,NA,"LB",2023,"arizona","Transfer",2
"Tyler Manoa",NA,"6-4",303,85,NA,NA,NA,NA,"DL",2023,"arizona","Transfer",2
"Jordan Washington","Jordan (Long Beach, CA)","5-10",170,91,NA,17,20,"CA","RB",2024,"arizona","Commit",2
"Demond Williams Jr.","Basha (Chandler, AZ)","5-9",174,90,NA,19,4,"AZ","QB",2024,"arizona","Commit",1
"Stacy Bey","Rancho Cucamonga (Rancho Cucamonga, CA)","6-1",200,88,NA,48,51,"CA","ATH",2024,"arizona","Commit",5
"Jabari Mann","Junipero Serra (San Mateo, CA)","6-0",210,88,NA,55,52,"CA","LB",2024,"arizona","Commit",5
"Dylan Tapley","Desert Mountain (Scottsdale, AZ)","6-4",205,87,NA,67,15,"AZ","TE",2024,"arizona","Commit",3
"Eduwa Okundaye","Tompkins (Katy, TX)","6-3",220,86,NA,80,173,"TX","Edge",2024,"arizona","Commit",7
"Cyrus Durham","College of San Mateo (San Mateo, CA)","6-4",240,86,68,5,14,"CA","LB",2024,"arizona","Commit",7
"Brandon Phelps","American Leadership Academy Gilbert North (Gilbert, AZ)","6-3",190,85,NA,189,26,"AZ","WR",2024,"arizona","Commit",8
"Matthew Lado","Apollo (Glendale, AZ)","6-6",260,85,NA,126,28,"AZ","OT",2024,"arizona","Commit",8
"Adam Mohammed","Apollo (Glendale, AZ)","6-0",180,84,NA,126,32,"AZ","RB",2024,"arizona","Commit",5
"Johno Price","College of San Mateo (San Mateo, CA)","6-2",175,84,110,11,22,"CA","CB",2024,"arizona","Commit",5
"Michael Levelle Watkins","Apollo (Glendale, AZ)","6-3",282,82,NA,200,48,"AZ","IOL",2024,"arizona","Commit",1
"Michael Salgado-Medina","Mission Viejo (Mission Viejo, CA)","6-3",190,81,NA,6,277,"CA","K",2024,"arizona","Commit",1
"Jeremiah Patterson","College of San Mateo (San Mateo, CA)","5-10",178,79,188,31,45,"CA","WR",2024,"arizona","Commit",1
"Turran Williams","John Muir (Pasadena, CA)","6-3",190,88,NA,69,53,"CA","WR",2024,"arizona","Commit",5
"Owen Goss",NA,"6-0",205,85,NA,NA,NA,NA,"S",2024,"arizona","Transfer",8
"Stanley Ta'ufo'ou",NA,"6-2",275,84,NA,NA,NA,NA,"DL",2024,"arizona","Transfer",5
"Jacory Croskey-Merritt",NA,"5-11",204,89,NA,NA,NA,NA,"RB",2024,"arizona","Transfer",3
"Shancco Matautia",NA,"6-2",346,84,NA,NA,NA,NA,"IOL",2024,"arizona","Transfer",5
"Kedrick Reescano",NA,"6-0",210,91,NA,NA,NA,NA,"RB",2024,"arizona","Transfer",2
"Lance Keneley",NA,"6-4",250,84,NA,NA,NA,NA,"Edge",2024,"arizona","Transfer",5
