"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Quardale Patt","Stafford (Stafford, TX)","6-4",240,86,NA,126,136,"TX","DL",2022,"houston","Commit",2
"Cody Jackson",NA,"6-0",179,90,NA,NA,NA,NA,"WR",2022,"houston","Transfer",2
"Lucas Coley",NA,"6-2",215,85,NA,NA,NA,NA,"QB",2022,"houston","Transfer",7
"Brandon Campbell",NA,"5-10",190,89,NA,NA,NA,NA,"RB",2022,"houston","Transfer",2
"Sam Brown Jr.",NA,"6-2",186,85,NA,NA,NA,NA,"WR",2022,"houston","Transfer",7
"Joseph Manjack IV",NA,"6-3",205,86,NA,NA,NA,NA,"WR",2022,"houston","Transfer",2
"Brice Johnson",NA,"6-0.5",173,78,NA,NA,NA,NA,"WR",2022,"houston","Transfer",1
"Mikal Harrison-Pilot","Temple (Temple, TX)","6-0",190,94,153,10,28,"TX","WR",2023,"houston","Commit",1
"Jonah Wilson","Dekaney (Houston, TX)","6-2",195,91,NA,36,48,"TX","WR",2023,"houston","Commit",1
"Justin Benton","Newton (Covington, GA)","6-1",280,88,NA,60,53,"GA","DL",2023,"houston","Commit",6
"Parker Jenkins","Klein Forest (Houston, TX)","5-10",185,88,NA,36,89,"TX","RB",2023,"houston","Commit",6
"Johnsley Barbas","Centennial (Roswell, GA)","5-11",165,87,NA,76,84,"GA","S",2023,"houston","Commit",5
"Michael Patterson","Fort Bend Marshall (Missouri City, TX)","5-10",165,87,NA,93,133,"TX","CB",2023,"houston","Commit",5
"Latreveon McCutchin","LBJ (Austin, TX)","6-2",205,87,NA,76,136,"TX","LB",2023,"houston","Commit",5
"Ja'Koby Banks","Fort Bend Marshall (Missouri City, TX)","5-9",175,87,NA,130,139,"TX","WR",2023,"houston","Commit",5
"Jalyn Stanford","Jenks (Jenks, OK)","5-11",185,86,NA,97,14,"OK","ATH",2023,"houston","Commit",5
"Juwon Gaston","Northeast Mississippi C.C. (Booneville, MS)","5-11",187,86,68,6,16,"MS","S",2023,"houston","Commit",5
"Caleb McMickle","Fellowship Christian School (Roswell, GA)","6-1",190,85,NA,61,125,"GA","QB",2023,"houston","Commit",8
"Jamaal Shaw","West Orange-Stark (Orange, TX)","6-1",180,85,NA,122,229,"TX","ATH",2023,"houston","Commit",8
"Chris Pearson","Orange Beach (Orange Beach, AL)","6-1",190,85,NA,123,53,"AL","S",2023,"houston","Commit",8
"Jett Runion","Aubrey (Aubrey, TX)","6-5",230,85,NA,156,250,"TX","DL",2023,"houston","Commit",8
"Ja'Ryan Wallace","Braswell (Denton, TX)","6-3",185,84,NA,243,264,"TX","WR",2023,"houston","Commit",5
"Cayden Bowie","Memorial (Port Arthur, TX)","6-3",290,84,NA,116,276,"TX","OT",2023,"houston","Commit",5
"Sergio Snider","Martin (Arlington, TX)","5-10",185,84,NA,118,290,"TX","RB",2023,"houston","Commit",5
"Re'Shaun Sanford II","Harker Heights (Harker Heights, TX)","5-7",165,83,NA,129,309,"TX","RB",2023,"houston","Commit",2
"Indiana Wijay","Pasadena (Pasadena, CA)","6-4",200,82,NA,126,276,"CA","QB",2023,"houston","Commit",1
"Tony Mathis Jr.",NA,"5-11",195,88,NA,NA,NA,NA,"RB",2023,"houston","Transfer",6
"Peyton Dunn",NA,"6-7",315,85,NA,NA,NA,NA,"IOL",2023,"houston","Transfer",8
"David Ndukwe",NA,"6-6",240,85,NA,NA,NA,NA,"IOL",2023,"houston","Transfer",8
"Aubrey Smith",NA,"6-2",220,86,NA,NA,NA,NA,"LB",2023,"houston","Transfer",5
"Malik Fleming",NA,"5-9",180,89,NA,NA,NA,NA,"CB",2023,"houston","Transfer",2
"Jalen Hunt",NA,"6-3",235,85,NA,NA,NA,NA,"DL",2023,"houston","Transfer",8
"Mike O'Laughlin",NA,"6-5",230,84,NA,NA,NA,NA,"TE",2023,"houston","Transfer",5
"Brian George",NA,"6-2",190,86,NA,NA,NA,NA,"CB",2023,"houston","Transfer",5
"David Ugwoegbu",NA,"6-4",249,88,NA,NA,NA,NA,"LB",2023,"houston","Transfer",6
"Brandon Mack II",NA,"6-4",240,83,NA,NA,NA,NA,"Edge",2023,"houston","Transfer",2
"Isaiah Hamilton",NA,"6-1",167,84,NA,NA,NA,NA,"CB",2023,"houston","Transfer",5
"Stephon Johnson",NA,"6-0",175,88,NA,NA,NA,NA,"WR",2023,"houston","Transfer",6
"Joshua Hardeman",NA,"6-4",204,85,NA,NA,NA,NA,"WR",2023,"houston","Transfer",8
