"Name","Location","Height","Weight","Ranking","NationalRank","PositionRank","StateRank","State","Position","Year","School","Type","count"
"Ryan Morgan","Lompoc (Lompoc, CA)","6-3",230,82,NA,267,208,"CA","TE",2020,"arizona-state","Commit",1
"Jake Ray","St. Thomas Aquinas (Fort Lauderdale, FL)","6-4",246,81,NA,107,286,"FL","TE",2020,"arizona-state","Commit",1
"Henry Hattis",NA,"6-6",301,86,NA,NA,NA,NA,"OT",2020,"arizona-state","Transfer",2
"Kellen Diesch",NA,"6-6",298,84,NA,NA,NA,NA,"OT",2020,"arizona-state","Transfer",3
"Isaiah Johnson","St. Bernard (Playa Del Rey, CA)","6-2",180,93,157,13,11,"CA","CB",2021,"arizona-state","Commit",1
"Tommi Hill","Edgewater (Orlando, FL)","6-1",185,91,233,11,30,"FL","CB",2021,"arizona-state","Commit",2
"Lonyatta Alexander","Kennedy Catholic (Burien, WA)","6-3",189,91,239,33,7,"WA","WR",2021,"arizona-state","Commit",2
"Ezra Dotson-Oyetade","Lakeview Centennial (Garland, TX)","6-3",285,90,NA,16,40,"TX","IOL",2021,"arizona-state","Commit",2
"Jaydon Williams","South Oak Cliff (Dallas, TX)","6-1",195,90,NA,36,47,"TX","LB",2021,"arizona-state","Commit",2
"Eric Gentry","Neumann Goretti (Philadelphia, PA)","6-6",205,89,NA,26,15,"PA","OLB",2021,"arizona-state","Commit",1
"Gharin Stansbury","Franklin (Franklin, LA)","6-5",230,87,NA,42,20,"LA","Edge",2021,"arizona-state","Commit",3
"Isaia Glass","Queen Creek (Queen Creek, AZ)","6-5",245,87,NA,63,14,"AZ","OT",2021,"arizona-state","Commit",3
"RJ Regan","Orange Lutheran (Orange, CA)","6-0",186,87,NA,60,69,"CA","CB",2021,"arizona-state","Commit",3
"Finn Collins","Bishop Alemany (Mission Hills, CA)","6-3",178,86,NA,64,87,"CA","PRO",2021,"arizona-state","Commit",2
"Austin Barry","John W. North (Riverside, CA)","6-6",260,86,NA,85,91,"CA","OT",2021,"arizona-state","Commit",2
"Armon Bethea","Erasmus Hall (Brooklyn, NY)","6-5",310,83,NA,99,6,"NY","OG",2021,"arizona-state","Commit",1
"Eddie Czaplicki","Providence (Charlotte, NC)","6-1",185,78,NA,11,108,"NC","P",2021,"arizona-state","Commit",1
"Bryan Thompson",NA,"6-3",190,85,NA,NA,NA,NA,"WR",2021,"arizona-state","Transfer",2
"Jalin Conyers",NA,"6-4",220,85,NA,NA,NA,NA,"TE",2021,"arizona-state","Transfer",2
"Triston Miller",NA,"6-6",290,81,NA,NA,NA,NA,"OT",2021,"arizona-state","Transfer",1
"Travez Moore",NA,"6-6",250,82,NA,NA,NA,NA,"WDE",2021,"arizona-state","Transfer",1
"Tevin White","North Stafford (Stafford, VA)","6-1",200,90,NA,28,11,"VA","RB",2022,"arizona-state","Commit",2
"Jacob Newell","Thurston (Springfield, OR)","6-5",220,88,NA,33,5,"OR","TE",2022,"arizona-state","Commit",2
"Bennett Meredith","Hoover (Hoover, AL)","6-3",190,86,NA,51,36,"AL","QB",2022,"arizona-state","Commit",1
"Dylan Hall","Antelope Valley College (Lancaster, CA)","6-5",250,85,44,7,3,"CA","DL",2022,"arizona-state","Commit",4
"Robby Harrison","Emerald (Greenwood, SC)","6-3",285,84,NA,176,21,"SC","DL",2022,"arizona-state","Commit",4
"Bryce Pierre","Mt. San Antonio College (Walnut, CA)","6-5",240,84,72,1,10,"CA","TE",2022,"arizona-state","Commit",4
"Danny Valenzuela","College of the Canyons (Valencia, CA)","6-3",280,84,84,7,14,"CA","IOL",2022,"arizona-state","Commit",4
"Blazen Lono-Wong","Kailua (Kailua, HI)","6-4",240,83,NA,99,9,"HI","Edge",2022,"arizona-state","Commit",2
"Jalil Rivera-Harvey","East Los Angeles College (Monterey Park, CA)","6-4",295,82,152,24,34,"CA","DL",2022,"arizona-state","Commit",1
"James Djonkam","Independence C.C. (Independence, KS)","6-4",250,79,180,10,47,"KS","Edge",2022,"arizona-state","Commit",1
"Carter Brown","Dawson (Pearland, TX)","6-1",185,78,NA,15,307,"TX","K",2022,"arizona-state","Commit",1
"Cam Johnson",NA,"6-0",198,87,NA,NA,NA,NA,"WR",2022,"arizona-state","Transfer",5
"Emory Jones",NA,"6-2.5",195,85,NA,NA,NA,NA,"QB",2022,"arizona-state","Transfer",4
"Joey Ramos",NA,"6-5",305,87,NA,NA,NA,NA,"OT",2022,"arizona-state","Transfer",5
"Ro Torrence",NA,"6-3",195,87,NA,NA,NA,NA,"CB",2022,"arizona-state","Transfer",5
"Khoury Bethley",NA,"5-10",195,89,NA,NA,NA,NA,"S",2022,"arizona-state","Transfer",1
"Chris Edmonds",NA,"6-2",215,87,NA,NA,NA,NA,"S",2022,"arizona-state","Transfer",5
"Emmit Bohle",NA,"6-7",300,85,NA,NA,NA,NA,"OT",2022,"arizona-state","Transfer",4
"Des Holmes",NA,"6-5",322,84,NA,NA,NA,NA,"IOL",2022,"arizona-state","Transfer",4
"Nesta Jade Silvera",NA,"6-2",308,90,NA,NA,NA,NA,"DL",2022,"arizona-state","Transfer",2
"Chris Martinez",NA,"6-4",280,83,NA,NA,NA,NA,"OT",2022,"arizona-state","Transfer",2
"Paul Tyson",NA,"6-5",228,85,NA,NA,NA,NA,"QB",2022,"arizona-state","Transfer",4
"Xazavian Valladay",NA,"6-1",175,88,NA,NA,NA,NA,"RB",2022,"arizona-state","Transfer",2
"Messiah Swinson",NA,"6-8",232,87,NA,NA,NA,NA,"TE",2022,"arizona-state","Transfer",5
"Rodney Groce Jr.",NA,"6-1",240,81,NA,NA,NA,NA,"LB",2022,"arizona-state","Transfer",1
"Jaden Rashada","Pittsburg (Pittsburg, CA)","6-4",175,97,44,6,4,"CA","QB",2023,"arizona-state","Commit",1
"Max Iheanachor","East Los Angeles College (Monterey Park, CA)","6-7",315,89,11,3,3,"CA","OT",2023,"arizona-state","Commit",7
"Josiah Cox","Lincoln (San Diego, CA)","6-2",180,89,NA,49,47,"CA","S",2023,"arizona-state","Commit",7
"Ashley Williams Jr.","Zachary (Zachary, LA)","6-5",225,88,NA,49,24,"LA","Edge",2023,"arizona-state","Commit",6
"Korbin Hendrix","McKinney North (McKinney, TX)","6-2",180,88,NA,84,85,"TX","WR",2023,"arizona-state","Commit",6
"Keontez Bradley","Mansfield (Mansfield, OH)","6-2",175,88,NA,68,20,"OH","CB",2023,"arizona-state","Commit",6
"Kyran Bourda","St. Augustine (New Orleans, LA)","6-3",285,87,NA,95,34,"LA","DL",2023,"arizona-state","Commit",5
"K'Vion Thunderbird","Kenwood Academy (Chicago, IL)","6-1",215,87,NA,73,20,"IL","LB",2023,"arizona-state","Commit",5
"Kyle Scott","Riverside C.C. (Riverside, CA)","6-5",320,87,46,15,11,"CA","OT",2023,"arizona-state","Commit",5
"Shawn Russ","Dunbar (Fort Myers, FL)","6-2",185,86,NA,88,146,"FL","S",2023,"arizona-state","Commit",9
"Montana Warren","Henderson (Henderson, TX)","6-2",180,86,NA,93,167,"TX","S",2023,"arizona-state","Commit",9
"Sean Na'a","St. John Bosco (Bellflower, CA)","6-4",275,86,NA,81,118,"CA","IOL",2023,"arizona-state","Commit",9
"Kyson Brown","Lancaster (Lancaster, TX)","5-10",195,86,NA,82,206,"TX","RB",2023,"arizona-state","Commit",9
"C.J. Fite","Tatum (Tatum, TX)","6-1",280,85,NA,143,230,"TX","DL",2023,"arizona-state","Commit",7
"Keith Abney II","Waxahachie (Waxahachie, TX)","5-10",170,85,NA,146,252,"TX","ATH",2023,"arizona-state","Commit",7
"Landen Thomas","Zachary (Zachary, LA)","6-3",260,84,NA,174,56,"LA","DL",2023,"arizona-state","Commit",4
"Elijah O'Neal","Butte College (Oroville, CA)","6-4",245,84,111,10,31,"CA","Edge",2023,"arizona-state","Commit",4
